phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
Br Mg Sr Zn     ,62,9.589,29.512,6.366,11.396,29.662
Al Br Mg Sr     ,62,9.624,29.419,6.037,11.33,29.372
F Mg Sn Zn      ,62,9.631,29.539,8.054,10.933,28.554
I Li Mg Zn      ,62,9.653,29.648,5.869,11.006,29.313
Cl La Mg Sn     ,62,9.682,29.383,6.521,11.333,29.167
Al F Mg Zr      ,62,9.778,29.685,8.152,11.803,28.078
Mg S Ta Zn      ,62,9.865,29.648,6.978,10.979,27.333
Cl Mg Sr Zr     ,62,9.879,29.444,6.282,11.767,28.961
Ca Cl Li Mg     ,62,9.957,29.575,5.831,11.084,29.617
F Mg Sn Zr      ,62,9.965,29.579,7.862,11.528,29.079
Cl Mg Si Ta     ,62,10.04,29.546,6.239,11.767,28.876
B Li Mg S       ,62,10.051,29.285,8.045,11.17,28.798
Ca F Mg Sn      ,62,10.136,29.316,7.841,11.719,29.244
Cl Li Mg Y      ,62,10.175,29.675,6.366,11.47,29.328
Mg S Ta Zr      ,62,10.192,29.687,6.756,11.572,27.881
Cl Mg P Ta      ,62,10.205,29.407,6.417,11.853,29.371
Cl Mg Sn Ta     ,62,10.29,29.666,6.307,10.447,29.5
Al I Mg Ta      ,62,10.307,29.624,6.441,11.474,28.897
Ca Mg S Ta      ,62,10.36,29.425,6.732,11.763,28.054
Ba Br Mg Zn     ,62,10.477,29.567,6.675,11.312,28.95
F Li Mg Zn      ,62,10.492,29.651,8.231,10.626,29.597
Ca Cl Mg Ta     ,62,10.561,29.642,6.718,11.614,29.497
Li Mg S Ta      ,62,10.909,29.56,6.546,10.296,29.118
Br K Mg Zn      ,62,11.462,29.655,5.702,10.527,29.174
Ba F Mg Sn      ,62,11.582,29.112,8.258,11.096,29.079
Br K Mg Zr      ,62,11.745,29.694,5.427,11.144,29.689
Ba Cl Mg Ta     ,62,11.956,29.44,7.199,10.984,29.333
Br K Mg Y       ,62,12.074,29.533,5.971,11.719,29.564
B Cl K Mg       ,62,12.107,29.253,7.852,11.059,29.239
F K Mg Zn       ,62,12.305,29.402,8.054,10.673,28.609
F K Mg Zr       ,62,12.569,29.442,7.862,11.282,29.133
Ca F K Mg       ,62,12.705,29.178,7.842,11.477,29.299
Cl K Mg Ta      ,62,12.828,29.529,6.307,10.174,29.554
F K Mg Y        ,62,12.877,29.279,8.247,11.85,29.007
Ba F K Mg       ,62,13.886,28.972,8.258,10.84,29.133
Cl Mg P Y       ,63,9.19,29.304,6.248,13.02,28.14
Br Ca Mg Zr     ,64,9.215,29.807,5.899,12.472,29.632
I Mg Si Y       ,65,9.228,29.293,5.818,13.549,28.018
Br Mg P Y       ,66,9.239,29.412,6.087,13.202,29.381
I Mg P Sr       ,66,9.884,28.789,5.679,12.83,29.375
I Mg Si Ta      ,66,10.239,29.396,5.999,12.432,29.254
Ba I Mg P       ,66,10.747,28.846,6.023,12.754,28.657
I Mg Y Zn       ,67,9.267,29.614,6.591,12.736,27.953
Al I Mg Y       ,67,9.303,29.521,6.273,12.676,27.645
B Mg S Zr       ,68,9.268,29.413,8.217,12.357,27.547
B Cl Mg P       ,69,9.282,29.13,7.941,12.62,29.054
B I Mg Si       ,70,9.319,29.12,7.607,13.165,28.936
La Mg P S       ,70,9.369,28.901,6.642,12.777,27.569
F Mg P Si       ,70,9.501,28.956,7.529,13.125,28.484
Mg O Y Zr       ,70,9.718,28.148,6.935,12.908,25.354
La Mg O P       ,70,9.901,27.428,6.978,12.92,26.387
B Br Mg P       ,71,9.331,29.238,7.814,12.808,30.257
Br Mg P Sr      ,71,9.724,29.05,5.762,12.381,30.205
I Li Mg P       ,71,9.787,29.189,5.207,12.023,29.862
F Li Mg P       ,71,10.616,29.191,7.773,11.676,30.141
I La Mg Sr      ,71,10.817,28.948,6.9,12.569,30.076
Ba Br Mg Sr     ,71,11.548,29.083,6.622,11.553,30.168
Ba I Li Mg      ,71,11.601,29.222,6.146,11.168,29.824
Br Mg Sn Y      ,72,9.333,29.67,5.971,11.956,29.511
Mg O Si Y       ,73,9.335,27.769,6.447,13.215,24.824
B I Mg Zn       ,74,9.359,29.442,8.213,12.326,28.872
F Mg Si Zn      ,74,9.363,29.419,8.001,12.201,27.908
Al B I Mg       ,74,9.394,29.349,7.96,12.265,28.574
Al F Mg Si      ,74,9.398,29.326,7.741,12.138,27.6
F Mg P Zn       ,74,9.54,29.28,8.14,12.283,28.42
Al F Mg P       ,74,9.574,29.187,7.885,12.221,28.117
Al Ca F Mg      ,74,9.953,29.424,8.132,11.99,28.249
Ca Mg S Y       ,75,9.361,29.322,6.571,12.938,26.763
Ca I Mg Zr      ,76,9.383,29.553,5.818,12.918,28.786
Cl Mg Y Zr      ,77,9.403,29.801,6.581,12.629,28.101
I Mg P Y        ,78,9.407,29.154,6.009,13.624,28.528
B Br Mg Sn      ,79,9.424,29.498,7.724,11.519,30.383
Br Mg Sn Sr     ,79,9.813,29.312,5.639,11.042,30.331
I Li Mg Sn      ,79,9.876,29.449,5.071,10.639,29.989
Cl La Li Mg     ,79,10.54,29.495,6.739,11.038,30.189
Cl Li Mg Sr     ,79,10.618,29.317,6.056,10.514,30.153
F Li Mg Sn      ,79,10.698,29.452,7.683,10.246,30.267
Cl Mg Sr Ta     ,79,11.186,29.385,6.914,11.072,30.035
Br K Mg Sn      ,79,11.65,29.456,4.877,10.143,29.854
Br Ca K Mg      ,79,11.89,29.433,5.397,11.341,29.851
I K Li Mg       ,79,12.498,29.312,5.072,10.372,30.042
