Phase fields     scores        Norm. score
Ca Cl O S        9.139612074708767 0.2084392702483455
B Br I P         9.153331862518968 0.2096112287077085
Br O P Pb        9.153501562463072 0.2096257246523829
Ca Cl O P        9.155037935706469 0.20975696324325976
Cr Se Te Zn       9.16365266068579 0.21049284195758686
Ag Br In S       9.163894632464839 0.21051351143712307
Cd Cr Se Te      9.170743319808281 0.2110985333907213
Br O Pb Sb       9.172214692851307 0.2112242195972802
Br F O Sb        9.174975388493147 0.21146004107323357
F Ni O Sb        9.177335298319719 0.21166162701048372
Ag Al Cl O       9.178347567253267 0.211748096069352
Ca O S Zn        9.183713584876775 0.2122064668425708
Ge N O Si        9.199280596138484 0.21353621703896952
I O P Pb         9.202042781418585 0.21377216576136468
N O S S          9.202477146508953 0.21380926967646505
Ag Bi Se Te      9.205145897370562 0.2140372371342326
F Ga Mg O        9.213720351163998 0.2147696758422245
As Bi Cl Hg      9.217773475603295 0.21511589792227448
I O Pb Sb         9.22065739894947 0.21536224563613537
Cu S Se V         9.22075773709659 0.21537081662440047
Br O Pb Si       9.222189191216529 0.21549309291527738
Br Cu O Sb       9.223178003447822 0.21557755827838773
F I O Sb         9.223403595013018 0.215596828543121
Ca Cl O Si       9.223714123323731 0.21562335419247147
As Cu Er P       9.224023179079543 0.21564975405465958
Ag I O P         9.226298383109935 0.21584410433522405
Al Cl N S        9.227150962929894 0.21591693258490988
B Cl Ni O         9.22850760108353 0.2160328180185954
Bi Br O Te       9.230898262636886 0.21623703080014037
Ag Bi Cl Se       9.24062595939925 0.21706798071485356
Al Cl N P        9.242430720365727 0.2172221452625168
F In O Te        9.243264466327842 0.2172933647045934
Br O Pb Te       9.248012143448962 0.217698916192809
Br F O Te        9.250750218932351 0.21793280543144167
Ag As Cl Hg      9.259081175844697 0.2186444443841046
As Cl Hg Hg       9.25996702910023 0.21872011488505863
I S Si Tb        9.263512110023266 0.21902293936269304
Bi Cl Cu Se      9.267128343231823 0.21933184174211937
B Br O Zn        9.269850542366587 0.21956437480663915
Dy O S Sn        9.273453819450253 0.21987217046048216
Ag Br In Te      9.273527555053994 0.2198784690319879
Bi I O Te        9.279034606692482 0.22034888707657876
As Cu Ho P       9.288090231654913 0.22112242792330006
Cl O S Zr        9.291178129764765 0.2213861993723594
As Cu Mn P       9.294828902750167 0.2216980521752344
Br Cu O Te       9.298560034591688 0.22201676931468028
F I O Te         9.298783797364093 0.22203588336204316
Br Cu In Te      9.299936178423648 0.22213432094357374
Ge N O Zn        9.304099208188374 0.22248993125015035
Cl Cu Hg Se      9.309098198129512 0.22291695013927923
Cd Ge N O         9.31108291381437 0.22308648660503747
Al Ca O S        9.314944376173546 0.22341633671204794
Bi Br Cd O       9.316760657535434 0.223571485343797
Ag I O Te        9.320070794019896 0.22385424062458448
Ag I In Te       9.321443762174932 0.22397152098387174
Al Br N Se       9.321857191649404 0.22400683655701828
