Phase fields,     scores,     Norm. scores,
F Ga Mg O       ,  8.993,    0.211,
Cl O Se Y       ,  8.996,    0.211,
B Br I P        ,  8.999,    0.212,
Br Cd O V       ,  9.001,    0.212,
O S Si Tm       ,  9.008,    0.212,
Cl Dy O Si      ,  9.023,    0.213,
Cl S Si Sm      ,  9.026,    0.214,
I Nb Se Te      ,  9.027,    0.214,
B Cl Ni O       ,  9.028,    0.214,
As O Y Zn       ,  9.043,    0.215,
Cl N O S        ,  9.043,    0.215,
Cl Nb O P       ,  9.045,    0.215,
Cr Cu Se Te     ,  9.046,    0.215,
Bi Br Cu Se     ,  9.049,    0.215,
As Cl Hg Zr     ,  9.051,    0.215,
As F N Se       ,  9.052,    0.216,
Dy O P Zn       ,  9.053,    0.216,
Bi I In Se      ,  9.053,    0.216,
Cl N O P        ,  9.056,    0.216,
Cu Nb Se Te     ,  9.058,    0.216,
Cl Cr O Si      ,  9.059,    0.216,
Cl Hg Se Zr     ,   9.06,    0.216,
Br F O Te       ,  9.071,    0.217,
Ag Br Hg S      ,  9.076,    0.217,
Ag F O S        ,  9.079,    0.218,
Ag F O P        ,  9.091,    0.219,
Br O Te Zr      ,  9.092,    0.219,
Eu O Se Se      ,  9.095,    0.219,
As I O Pb       ,  9.099,    0.219,
Cl O Si Tb      ,    9.1,    0.219,
F Ni O Sb       ,  9.102,    0.219,
Cl N O Sb       ,  9.103,    0.219,
F In O Te       ,  9.106,     0.22,
I O Pb Se       ,  9.108,     0.22,
Al Ca O S       ,  9.109,     0.22,
N O P Zn        ,  9.112,     0.22,
Br O P Pb       ,  9.114,     0.22,
Cl La S Si      ,  9.115,     0.22,
Cl Mo O S       ,  9.118,    0.221,
Cl Mo O P       ,  9.131,    0.222,
As Cl Hg Hg     ,  9.134,    0.222,
Br O Pb Si      ,  9.139,    0.222,
As I Li S       ,  9.148,    0.223,
Cl Ho O Te      ,  9.149,    0.223,
Cl O Se Yb      ,  9.152,    0.223,
Bi Cu O Se      ,  9.155,    0.223,
Br O Pb Sb      ,  9.161,    0.224,
Br Li P S       ,  9.163,    0.224,
Ga O S Tl       ,  9.164,    0.224,
Br Cl O Pb      ,  9.165,    0.224,
Br Hg I S       ,  9.167,    0.224,
Al Ca Cl O      ,  9.172,    0.225,
Ag Bi Br S      ,  9.177,    0.225,
Cl Cr O Te      ,  9.178,    0.225,
Bi Br Cl O      ,  9.181,    0.225,
Ag Nb S Te      ,  9.186,    0.226,
I S Si Tb       ,  9.187,    0.226,
Cl Nb O Te      ,   9.19,    0.226,
O Se Si Sm      ,  9.191,    0.226,
Br Cu Hg S      ,  9.197,    0.227,
Br Ca O P       ,  9.198,    0.227,
Cl Hg P Ti      ,  9.202,    0.227,
As Cl O Sm      ,  9.207,    0.227,
Cu F O P        ,  9.212,    0.228,
Cl O Se Sm      ,  9.216,    0.228,
O S Si Y        ,   9.22,    0.228,
Br Ca O Si      ,  9.223,    0.228,
Cl Cu N S       ,  9.224,    0.229,
F I O Sb        ,  9.228,    0.229,
As La O S       ,  9.232,    0.229,
Cl Cu O V       ,  9.232,    0.229,
As Bi Cl Hg     ,  9.234,    0.229,
Bi Br Cd O      ,  9.236,    0.229,
As Br Hg Ti     ,  9.239,     0.23,
Br Re Se Se     ,  9.241,     0.23,
Cd I O V        ,  9.256,    0.231,
Br O Pb Te      ,  9.258,    0.231,
Br Mn O Sb      ,  9.258,    0.231,
Br Cr Cu Se     ,  9.259,    0.231,
F Hg S Si       ,  9.262,    0.232,
