Phase fields,scores,Norm. scores
F O Pr Sb       , 29.768,    0.548
C I O Pt        , 28.111,     0.41
Br Cl Rb Te     , 32.152,    0.747
Ag Cl O Pb      , 26.525,    0.277
C O Ru S        , 26.716,    0.293
Al Cl O Sr      , 26.494,    0.275
Br O S Ti       ,   26.1,    0.242
C N O Re        , 28.703,    0.459
F Na O W        , 28.289,    0.424
Cl O Re Te      , 29.982,    0.566
Bi Cl Cu O      , 24.978,    0.148
Ag Bi Cl O      , 26.464,    0.272
As F N O        , 25.858,    0.222
Cl K O Re       , 29.649,    0.538
F I N O         , 27.246,    0.337
Cl K Re Se      , 31.521,    0.694
O Pb S          , 24.424,    0.102
La O Se Si      , 27.182,    0.332
C I Mn O        , 26.488,    0.274
Cr F O Sr       , 28.144,    0.412
F O Pb S        , 26.074,     0.24
Cl Cu In O      , 24.415,    0.101
Ba Cl In O      , 25.916,    0.226
F Mn Nb O       , 27.969,    0.398
Ca Cl O S       , 25.537,    0.195
Cl Mo O Te      , 26.748,    0.296
O Pr Se Ta      , 30.766,    0.631
Br Fe O Sr      , 27.348,    0.346
C Cs F O        , 27.452,    0.355
O P S           , 24.577,    0.115
N O S Se        , 25.024,    0.152
Au F O S        , 26.998,    0.317
Cd N P S        , 26.955,    0.313
Cl Cu N O       , 24.273,    0.089
Cl Na O W       , 27.435,    0.353
Cl Cu O Y       , 24.988,    0.149
B Br Co O       ,  27.78,    0.382
B Cl Ni O       , 25.885,    0.224
Ba Br In O      , 27.197,    0.333
B Na O S        ,  26.55,    0.279
Li N O Ta       , 28.656,    0.455
B Cl O Sr       , 27.765,    0.381
Cl F P Sb       , 28.011,    0.401
Cl Ga N Se      , 28.789,    0.466
Mo N O Sr       , 27.314,    0.343
Br Cs F Sn      , 30.941,    0.646
I Nb Se         , 31.176,    0.666
Ba F O Ti       ,  27.04,     0.32
Ce F N O        , 27.937,    0.395
Nd O S Si       , 28.335,    0.428
Er O S Si       , 28.375,    0.432
O Pr Se Si      , 29.112,    0.493
O Se Si Sm      , 27.856,    0.388
Gd O Se Si      ,  28.01,    0.401
As Cu Mn P      , 26.289,    0.257
Cl N O P        , 25.049,    0.154
Ba F O Ta       , 28.555,    0.447
Ba F Nb O       , 28.303,    0.426
I La O Si       , 27.779,    0.382
C Cl O Rh       , 28.269,    0.423
Ce Cl O S       , 26.683,     0.29
C O Ru Se       , 27.953,    0.396
Al F O P        , 25.792,    0.216
B Co I O        , 27.721,    0.377
F O Sb Xe       , 29.856,    0.555
Cl F P Rh       , 30.833,    0.637
Cl Eu O Ti      , 28.862,    0.472
Cl Dy O Ti      ,  29.22,    0.502
N Na O W        , 27.163,    0.331
Ba F O V        , 28.039,    0.404
Cl O Te W       , 27.157,     0.33
F N O Zr        , 26.756,    0.296
Cl La O U       , 29.062,    0.489
Cl O Pr U       , 30.875,     0.64
Cl Nd O U       , 31.245,    0.671
Ba Br O Si      , 27.145,    0.329
K N O W         , 26.511,    0.276
As F N Se       , 27.985,    0.399
Cl Cu I Rb      , 30.876,     0.64
Cl O Re Sr      ,  30.73,    0.628
F Fe Nb O       , 26.825,    0.302
K O S Si        , 24.795,    0.133
B O Se Zn       , 26.785,    0.299
Ba Cl F Sr      , 29.858,    0.555
Bi Cu O Se      ,  25.61,    0.201
Cl N Sb Se      , 27.508,    0.359
Cl La O S       , 26.114,    0.243
Cl Nd O S       , 28.524,    0.444
Er O Se Si      , 29.543,    0.529
Br Cl Cs Re     , 33.141,     0.83
As O Rb Sn      , 29.445,    0.521
As Cs O Sn      , 27.389,    0.349
Br Nb O Te      ,  28.69,    0.458
Cl La N S       , 27.382,    0.349
Br Cs Nb S      , 30.311,    0.593
Cl Hg O Pb      ,   27.6,    0.367
Cl Fe N Se      , 26.416,    0.268
Ba O S Ti       , 25.453,    0.188
Cl Nb O Sc      , 28.835,     0.47
Br Cd P         , 29.029,    0.486
Cl O Sm Ta      , 29.036,    0.487
Cu O Se Sm      , 27.311,    0.343
Ba Cu F Se      , 28.299,    0.425
Cu Mo O S       , 24.548,    0.112
N P S Zn        , 25.898,    0.225
Bi I O Sr       , 28.483,    0.441
Br Nb S Tl      , 30.996,    0.651
Ba Cl Hg O      , 27.808,    0.384
N O W Yb        , 29.341,    0.512
N O Sm Ta       , 28.779,    0.465
Ca N O Th       , 28.553,    0.447
Cl Gd La O      , 28.918,    0.477
Pb Se Sn Te     , 29.121,    0.494
Al Cd O S       , 25.233,    0.169
Cs F O Re       , 31.548,    0.697
F N O Re        , 29.922,    0.561
F K O Se        , 27.218,    0.335
F O Rb Se       , 30.435,    0.604
Cs F O Se       , 28.451,    0.438
Cl I Se W       , 29.673,     0.54
Cr Cs F O       , 28.204,    0.417
Br C I Y        , 29.271,    0.506
N P Se Zn       , 27.173,    0.331
N P Te Zn       , 27.254,    0.338
Ba Br Cl F      , 29.627,    0.536
Cl N Nd S       , 29.688,    0.541
Br Mo O Te      , 27.992,      0.4
Br O Te W       , 28.383,    0.432
C Cl Gd I       ,  29.78,    0.549
