phases,target,natom
Al La Zn,0,3
Al Li,0,2
Al Li Mg,0,3
Al Li Mg Zn,0,4
Al Li Ni Zr,0,4
Al Li Pd,0,3
Al Li Pt,0,3
Al Li Rh,0,3
Al Li Sb Sr,0,4
Al Li Sn,0,3
Al Li Zn,0,3
Al Lu,0,2
Al Lu Mn,0,3
Al Lu Mo,0,3
Al Lu Ni,0,3
Al Lu Os,0,3
Al Lu Pd,0,3
Al Lu Pt,0,3
Al Lu Re,0,3
Al Lu Rh,0,3
Al Lu Rh U,0,4
Al Lu Ru,0,3
Al Lu V,0,3
Al Lu W,0,3
Al Lu Yb,0,3
Al Lu Zn,0,3
Al Mg,0,2
Al Mg Mn,0,3
Al Mg Mo,0,3
Al Mg Na Zn,0,4
Al Mg Nd,0,3
Al Mg Nd Ni,0,4
Al Mg Ni Y,0,4
Al Mg Pr,0,3
Al Mg Pt,0,3
Al Mg Sc,0,3
Al Mg Sr,0,3
Al Mg Ta,0,3
Al Mg Tb,0,3
Al Mg Ti,0,3
Al Mg Tm,0,3
Al Mg V,0,3
Al Mg W,0,3
Al Mg Y,0,3
Al Mg Yb,0,3
Al Mg Zn,0,3
Al Mn,0,2
Al Mn Mo,0,3
Al Mn Nb,0,3
Al Mn Nb V,0,4
Al Mn Nd,0,3
Al Mn Nd Zn,0,4
Al Mn Ni,0,3
Al Mn Os,0,3
Al Mn Pd,0,3
