phases,leaf,mat2vec,if_pareto,pareto_front,elements
Cu Sn Ta,0.418,1.707,-,25,Cu
Cr Fe Sr,1.395,1.708,-,18,Cr
Ag Mn Y,1.228,1.71,-,19,Ag
Al Mo Pb,1.094,1.712,-,7,Al
Fe K Ti,2.95,1.715,-,4,Fe
Cu Pt Zr,0.699,1.715,-,14,Cu
Cr Mo Y,1.113,1.717,-,25,Cr
Cr In Mn,0.743,1.718,-,5,Cr
Mn Pb Ti,1.105,1.719,-,7,Mn
Fe Mg Pt,1.049,1.72,-,20,Fe
Cu Mn Sr,1.012,1.721,-,23,Cu
Al Sr Zn,0.786,1.722,-,20,Al
Ni Ta Y,0.437,1.724,-,23,Ni
Ag Ti Y,1.37,1.726,-,13,Ag
Ba Fe Mo,1.384,1.726,-,26,Ba
Ni Sn Ta,0.167,1.727,-,6,Ni
In Ti Y,0.768,1.728,-,8,In
Ag Sn Ti,1.196,1.73,-,21,Ag
Cd Cr Fe,1.051,1.732,-,3,Cd
Ni Pt Zr,0.484,1.735,-,24,Ni
Bi Co Mg,0.869,1.736,-,22,Bi
Cu Fe Ir,1.536,1.736,-,14,Cu
Ca Co Zn,1.423,1.738,-,11,Ca
Fe Ga In,0.819,1.738,-,24,Fe
Mn Ni Sr,0.827,1.741,-,24,Mn
Ba Co Cr,0.874,1.743,-,27,Ba
Al Cd Zn,0.329,1.747,-,28,Al
Ag Al Pb,1.289,1.748,-,9,Ag
Au Ni Pb,0.66,1.75,-,22,Au
Ag Cr Y,1.306,1.753,-,15,Ag
Bi Mn Sn,0.87,1.754,-,7,Bi
Cu K Mn,2.67,1.755,-,20,Cu
Fe Ir Ni,1.385,1.756,-,27,Fe
Ag Cr Sn,1.129,1.757,-,20,Ag
Ag Ba Fe,1.56,1.762,-,10,Ag
Fe Ga Pb,1.102,1.766,-,15,Fe
Cu Fe Na,3.417,1.768,-,30,Cu
Bi Sn Ti,1.032,1.77,-,29,Bi
Au Zn Zr,0.464,1.771,-,27,Au
In Mg Zn,0.239,1.772,-,23,In
Cu Mg Pt,0.705,1.776,-,8,Cu
Pb Sn Y,0.626,1.779,-,11,Pb
Fe Sr Zr,1.223,1.779,-,5,Fe
Ag Al Au,1.191,1.78,-,23,Ag
Cu Li Ni,0.565,1.781,-,24,Cu
Cd Cu Y,0.546,1.782,-,28,Cd
Ba Cu Mo,1.086,1.782,-,25,Ba
Al Ta Y,0.651,1.783,-,16,Al
Fe Mg Ta,0.957,1.786,-,16,Fe
Al Sn Ta,0.412,1.787,-,16,Al
Al Bi Pb,1.131,1.787,-,15,Al
Ag Mn Zr,1.176,1.788,-,17,Ag
Cd Cr Cu,0.707,1.788,-,15,Cd
Mo Y Zr,0.922,1.788,-,18,Mo
Ga Sn Zn,0.155,1.789,-,26,Ga
Bi Sn Y,0.816,1.79,-,6,Bi
Ba Fe Pb,1.268,1.791,-,9,Ba
Mo Sn Zr,0.713,1.792,-,21,Mo
K Ni Ti,2.658,1.792,-,25,K
Au Cr Ti,1.086,1.794,-,3,Au
Bi Cr Sn,0.96,1.796,-,28,Bi
Co Fe W,1.388,1.799,-,26,Co
Mg Pb Zn,0.603,1.799,-,26,Mg
Cd Fe Zr,0.854,1.803,-,10,Cd
Ag Ti Zr,1.321,1.804,-,12,Ag
Co Ta Zn,0.325,1.807,-,18,Co
Cd Cr Ni,0.493,1.808,-,21,Cd
Al Au Pb,0.854,1.809,-,8,Al
Fe K Zr,2.8,1.813,-,25,Fe
Au Cr Y,0.875,1.814,-,2,Au
Ga In Ni,0.185,1.814,-,28,Ga
Ba Co Zr,0.661,1.814,-,7,Ba
K Ni Sn,2.41,1.815,-,13,K
Al Fe Ir,1.532,1.816,-,28,Al
Al Sr Ti,1.162,1.817,-,19,Al
Cu Mo Nb,1.165,1.824,-,4,Cu
Ag Y Zr,1.129,1.824,-,22,Ag
Al Cd Mn,0.6,1.825,-,29,Al
In Sn Zr,0.185,1.829,-,30,In
Be Fe Ni,3.739,1.83,-,20,Be
Fe Nb Pb,1.343,1.832,-,27,Fe
Co Pt Ti,0.878,1.835,-,18,Co
Al Ga Mo,0.902,1.836,-,11,Al
Ba In Ni,0.433,1.839,-,5,Ba
Al Cr Sr,1.093,1.843,-,12,Al
Au Mn Zr,0.718,1.849,-,19,Au
Al K Ti,2.761,1.85,-,10,Al
Co Mo Pb,1.0,1.85,-,16,Co
Co Fe Hf,1.302,1.851,-,18,Co
Co Pt Y,0.647,1.855,-,27,Co
Ag Cu Nb,1.355,1.859,-,14,Ag
Co Sr Zn,0.678,1.86,-,28,Co
Al Cd Y,0.54,1.861,-,28,Al
Cu In Nb,0.749,1.861,-,28,Cu
Mg Ni Ta,0.371,1.862,-,29,Mg
Ag Mg Ti,1.326,1.865,-,26,Ag
Al Cd Sn,0.286,1.865,-,20,Al
Au Ti Zr,0.892,1.865,-,20,Au
Bi Fe Sc,1.369,1.865,-,14,Bi
Al K Y,2.637,1.87,-,17,Al
Ag Al Ga,1.111,1.872,-,18,Ag
Fe W Zn,1.328,1.873,-,18,Fe
